Name,Issue_URL,Issue_number,PR,Line added,Line deleted,Fix duration (days)
aiqm/torchani,https://github.com/aiqm/torchani/issues/485,485,488,12,0,5
aiqm/torchani,https://github.com/aiqm/torchani/issues/243,243,279,0,144,63
aiqm/torchani,https://github.com/aiqm/torchani/issues/618,618,619,2,2,10
aiqm/torchani,https://github.com/aiqm/torchani/issues/141,141,150,2,21,28
aiqm/torchani,https://github.com/aiqm/torchani/issues/182,182,357,5,5,251
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2011,2011,2020,35,16,35
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1006,1006,1059,6,18,44
marl/openl3,https://github.com/marl/openl3/issues/85,85,86,4,4,62
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/306,306,307,3,1,0
stared/livelossplot,https://github.com/stared/livelossplot/issues/7,7,8,1,1,1
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/835,835,847,11,5,2
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/20,20,54,333,80,176
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/34,34,37,268,41,3
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/38,38,41,355,21,0
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/9,9,40,134,7,408
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/35,35,36,5083,3805,2
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/82,82,90,86,132,8
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/253,253,255,1190,1034,4
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/102,102,121,94,42,82
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/69,69,76,588,181,20
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/90,90,95,64,11,9
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/127,127,128,5,2,18
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/55,55,56,59,55,0
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/39,39,42,537,0,1
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/13,13,25,27,2,132
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/14,14,15,1,1,56
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/251,251,253,152,49,0
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/98,98,112,2113,801,336
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/77,77,95,68,40,108
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/420,420,421,19,19,0
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/362,362,364,189,132,13
